Date,Open,High,Low,Close,Adj Close,Volume
1998-12-01,25.312500,26.406250,25.312500,26.125000,20.152817,91100
1999-01-01,26.156250,27.562500,25.687500,27.468750,21.189383,264300
1999-02-01,27.593750,28.093750,26.218750,27.296875,21.056799,206000
1999-03-01,27.218750,29.562500,27.062500,28.593750,22.057213,278400
1999-04-01,28.750000,30.656250,28.390625,29.343750,22.660337,578300
1999-05-01,29.406250,30.437500,27.625000,28.015625,21.634712,513400
1999-06-01,28.062500,29.781250,27.625000,29.781250,22.998192,143400
1999-07-01,29.562500,30.578125,27.437500,27.562500,21.313440,370400
1999-08-01,27.656250,28.062500,25.156250,26.500000,20.491838,362200
1999-09-01,26.640625,27.046875,25.343750,26.078125,20.165613,243900
1999-10-01,26.218750,29.062500,25.906250,28.390625,21.985159,374000
1999-11-01,28.500000,29.125000,27.750000,28.406250,21.997265,160800
1999-12-01,28.750000,31.093750,28.218750,31.062500,24.054211,4812600
2000-01-01,31.000000,31.000000,26.875000,27.203125,21.091969,1766000
2000-02-01,27.437500,28.359375,23.890625,25.687500,19.916828,1417100
2000-03-01,25.703125,29.890625,24.031250,29.265625,22.691130,4701800
2000-04-01,29.656250,31.937500,27.375000,28.656250,22.261997,790000
2000-05-01,28.781250,29.531250,26.140625,27.109375,21.060280,694900
2000-06-01,27.000000,28.125000,24.125000,25.593750,19.882841,1325900
2000-07-01,25.687500,28.562500,25.593750,26.000000,20.237085,1215500
2000-08-01,26.125000,27.843750,24.718750,24.921875,19.397936,506100
2000-09-01,24.812500,27.000000,24.453125,24.890625,19.373608,17420200
2000-10-01,24.875000,25.468750,21.562500,24.578125,19.177853,3726800
2000-11-01,24.750000,25.312500,22.812500,23.968750,18.702372,713900
2000-12-01,24.156250,26.062500,22.812500,25.593750,19.970327,1016600
2001-01-01,25.781250,28.629999,25.312500,28.570000,22.348450,10307700
2001-02-01,28.500000,28.610001,25.709999,26.530001,20.752705,6339300
2001-03-01,26.520000,27.799999,24.190001,26.090000,20.408518,3056900
2001-04-01,25.840000,27.900000,25.000000,27.299999,21.398514,1889000
